TIMESLICE,DAILYTIMEBRACKET,VALUE
m3_d1_t5,1,0
m3_d1_t6,1,0
m3_d1_t7,1,0
m3_d1_t8,1,0
m3_d1_t9,1,0
m3_d1_t10,1,0
m3_d1_t11,1,0
m3_d1_t12,1,0
m3_d1_t13,1,0
m3_d1_t14,1,0
m3_d1_t15,1,0
m3_d1_t16,1,0
m3_d1_t17,1,0
m3_d1_t18,1,0
m3_d1_t19,1,0
m3_d1_t20,1,0
m3_d1_t21,1,0
m3_d1_t22,1,0
m3_d1_t23,1,0
m3_d1_t24,1,0
m3_d2_t1,1,1
m3_d2_t2,1,0
m3_d2_t3,1,0
m3_d2_t4,1,0
m3_d2_t5,1,0
m3_d2_t6,1,0
m3_d2_t7,1,0
m3_d2_t8,1,0
m3_d2_t9,1,0
m3_d2_t10,1,0
m3_d2_t11,1,0
m3_d2_t12,1,0
m3_d2_t13,1,0
m3_d2_t14,1,0
m3_d2_t15,1,0
m3_d2_t16,1,0
m3_d2_t17,1,0
m3_d2_t18,1,0
m3_d2_t19,1,0
m3_d2_t20,1,0
m3_d2_t21,1,0
m3_d2_t22,1,0
m3_d2_t23,1,0
m3_d2_t24,1,0
m3_d3_t1,1,1
m3_d3_t2,1,0
m3_d3_t3,1,0
m3_d3_t4,1,0
m3_d3_t5,1,0
m3_d3_t6,1,0
m3_d3_t7,1,0
m3_d3_t8,1,0
m3_d3_t9,1,0
m3_d3_t10,1,0
m3_d3_t11,1,0
m3_d3_t12,1,0
m3_d3_t13,1,0
m3_d3_t14,1,0
m3_d3_t15,1,0
m3_d3_t16,1,0
m3_d3_t17,1,0
m3_d3_t18,1,0
m3_d3_t19,1,0
m3_d3_t20,1,0
m3_d3_t21,1,0
m3_d3_t22,1,0
m3_d3_t23,1,0
m3_d3_t24,1,0
m3_d4_t1,1,1
m3_d4_t2,1,0
m3_d4_t3,1,0
m3_d4_t4,1,0
m3_d4_t5,1,0
m3_d4_t6,1,0
m3_d4_t7,1,0
m3_d4_t8,1,0
m3_d4_t9,1,0
m3_d4_t10,1,0
m3_d4_t11,1,0
m3_d4_t12,1,0
m3_d4_t13,1,0
m3_d4_t14,1,0
m3_d4_t15,1,0
m3_d4_t16,1,0
m3_d4_t17,1,0
m3_d4_t18,1,0
m3_d4_t19,1,0
m3_d4_t20,1,0
m3_d4_t21,1,0
m3_d4_t22,1,0
m3_d4_t23,1,0
m3_d4_t24,1,0
m3_d5_t1,1,1
m3_d5_t2,1,0
m3_d5_t3,1,0
m3_d5_t4,1,0
m3_d5_t5,1,0
m3_d5_t6,1,0
m3_d5_t7,1,0
m3_d5_t8,1,0
m3_d5_t9,1,0
m3_d5_t10,1,0
m3_d5_t11,1,0
m3_d5_t12,1,0
m3_d5_t13,1,0
m3_d5_t14,1,0
m3_d5_t15,1,0
m3_d5_t16,1,0
m3_d5_t17,1,0
m3_d5_t18,1,0
m3_d5_t19,1,0
m3_d5_t20,1,0
m3_d5_t21,1,0
m3_d5_t22,1,0
m3_d5_t23,1,0
m3_d5_t24,1,0
m4_d1_t1,1,1
m4_d1_t2,1,0
m4_d1_t3,1,0
m4_d1_t4,1,0
m4_d1_t5,1,0
m4_d1_t6,1,0
m4_d1_t7,1,0
m4_d1_t8,1,0
m4_d1_t9,1,0
m4_d1_t10,1,0
m4_d1_t11,1,0
m4_d1_t12,1,0
m4_d1_t13,1,0
m4_d1_t14,1,0
m4_d1_t15,1,0
m4_d1_t16,1,0
m4_d1_t17,1,0
m4_d1_t18,1,0
m4_d1_t19,1,0
m4_d1_t20,1,0
m4_d1_t21,1,0
m4_d1_t22,1,0
m4_d1_t23,1,0
m4_d1_t24,1,0
m4_d2_t1,1,1
m4_d2_t2,1,0
m4_d2_t3,1,0
m4_d2_t4,1,0
m4_d2_t5,1,0
m4_d2_t6,1,0
m4_d2_t7,1,0
m4_d2_t8,1,0
m4_d2_t9,1,0
m4_d2_t10,1,0
m4_d2_t11,1,0
m4_d2_t12,1,0
m4_d2_t13,1,0
m4_d2_t14,1,0
m4_d2_t15,1,0
m4_d2_t16,1,0
m4_d2_t17,1,0
m4_d2_t18,1,0
m4_d2_t19,1,0
m4_d2_t20,1,0
m4_d2_t21,1,0
m4_d2_t22,1,0
m4_d2_t23,1,0
m4_d2_t24,1,0
m4_d3_t1,1,1
m4_d3_t2,1,0
m4_d3_t3,1,0
m4_d3_t4,1,0
m4_d3_t5,1,0
m4_d3_t6,1,0
m4_d3_t7,1,0
m4_d3_t8,1,0
m4_d3_t9,1,0
m4_d3_t10,1,0
m4_d3_t11,1,0
m4_d3_t12,1,0
m4_d3_t13,1,0
m4_d3_t14,1,0
m4_d3_t15,1,0
m4_d3_t16,1,0
m4_d3_t17,1,0
m4_d3_t18,1,0
m4_d3_t19,1,0
m4_d3_t20,1,0
m4_d3_t21,1,0
m4_d3_t22,1,0
m4_d3_t23,1,0
m4_d3_t24,1,0
m4_d4_t1,1,1
m4_d4_t2,1,0
m4_d4_t3,1,0
m4_d4_t4,1,0
m4_d4_t5,1,0
m4_d4_t6,1,0
m4_d4_t7,1,0
m4_d4_t8,1,0
m4_d4_t9,1,0
m4_d4_t10,1,0
m4_d4_t11,1,0
m4_d4_t12,1,0
m4_d4_t13,1,0
m4_d4_t14,1,0
m4_d4_t15,1,0
m4_d4_t16,1,0
m4_d4_t17,1,0
m4_d4_t18,1,0
m4_d4_t19,1,0
m4_d4_t20,1,0
m4_d4_t21,1,0
m4_d4_t22,1,0
m4_d4_t23,1,0
m4_d4_t24,1,0
m4_d5_t1,1,1
m4_d5_t2,1,0
m4_d5_t3,1,0
m4_d5_t4,1,0
m4_d5_t5,1,0
m4_d5_t6,1,0
m4_d5_t7,1,0
m4_d5_t8,1,0
m4_d5_t9,1,0
m4_d5_t10,1,0
m4_d5_t11,1,0
m4_d5_t12,1,0
m4_d5_t13,1,0
m4_d5_t14,1,0
m4_d5_t15,1,0
m4_d5_t16,1,0
m4_d5_t17,1,0
m4_d5_t18,1,0
m4_d5_t19,1,0
m4_d5_t20,1,0
m4_d5_t21,1,0
m4_d5_t22,1,0
m4_d5_t23,1,0
m4_d5_t24,1,0
m5_d1_t1,1,1
m5_d1_t2,1,0
m5_d1_t3,1,0
m5_d1_t4,1,0
m5_d1_t5,1,0
m5_d1_t6,1,0
m5_d1_t7,1,0
m5_d1_t8,1,0
m5_d1_t9,1,0
m5_d1_t10,1,0
m5_d1_t11,1,0
m5_d1_t12,1,0
m5_d1_t13,1,0
m5_d1_t14,1,0
m5_d1_t15,1,0
m5_d1_t16,1,0
m5_d1_t17,1,0
m5_d1_t18,1,0
m5_d1_t19,1,0
m5_d1_t20,1,0
m5_d1_t21,1,0
m5_d1_t22,1,0
m5_d1_t23,1,0
m5_d1_t24,1,0
m5_d2_t1,1,1
m5_d2_t2,1,0
m5_d2_t3,1,0
m5_d2_t4,1,0
m5_d2_t5,1,0
m5_d2_t6,1,0
m5_d2_t7,1,0
m5_d2_t8,1,0
m5_d2_t9,1,0
m5_d2_t10,1,0
m5_d2_t11,1,0
m5_d2_t12,1,0
m5_d2_t13,1,0
m5_d2_t14,1,0
m5_d2_t15,1,0
m5_d2_t16,1,0
m5_d2_t17,1,0
m5_d2_t18,1,0
m5_d2_t19,1,0
m5_d2_t20,1,0
m5_d2_t21,1,0
m5_d2_t22,1,0
m5_d2_t23,1,0
m5_d2_t24,1,0
m5_d3_t1,1,1
m5_d3_t2,1,0
m5_d3_t3,1,0
m5_d3_t4,1,0
m5_d3_t5,1,0
m5_d3_t6,1,0
m5_d3_t7,1,0
m5_d3_t8,1,0
m5_d3_t9,1,0
m5_d3_t10,1,0
m5_d3_t11,1,0
m5_d3_t12,1,0
m5_d3_t13,1,0
m5_d3_t14,1,0
m5_d3_t15,1,0
m5_d3_t16,1,0
m5_d3_t17,1,0
m5_d3_t18,1,0
m5_d3_t19,1,0
m5_d3_t20,1,0
m5_d3_t21,1,0
m5_d3_t22,1,0
m5_d3_t23,1,0
m5_d3_t24,1,0
m5_d4_t1,1,1
m5_d4_t2,1,0
m5_d4_t3,1,0
m5_d4_t4,1,0
m5_d4_t5,1,0
m5_d4_t6,1,0
m5_d4_t7,1,0
m5_d4_t8,1,0
m5_d4_t9,1,0
m5_d4_t10,1,0
m5_d4_t11,1,0
m5_d4_t12,1,0
m5_d4_t13,1,0
m5_d4_t14,1,0
m5_d4_t15,1,0
m5_d4_t16,1,0
m5_d4_t17,1,0
m5_d4_t18,1,0
m5_d4_t19,1,0
m5_d4_t20,1,0
m5_d4_t21,1,0
m5_d4_t22,1,0
m5_d4_t23,1,0
m5_d4_t24,1,0
m5_d5_t1,1,1
m5_d5_t2,1,0
m5_d5_t3,1,0
m5_d5_t4,1,0
m5_d5_t5,1,0
m5_d5_t6,1,0
m5_d5_t7,1,0
m5_d5_t8,1,0
m5_d5_t9,1,0
m5_d5_t10,1,0
m5_d5_t11,1,0
m5_d5_t12,1,0
m5_d5_t13,1,0
m5_d5_t14,1,0
m5_d5_t15,1,0
m5_d5_t16,1,0
m5_d5_t17,1,0
m5_d5_t18,1,0
m5_d5_t19,1,0
m5_d5_t20,1,0
m5_d5_t21,1,0
m5_d5_t22,1,0
m5_d5_t23,1,0
m5_d5_t24,1,0
m6_d1_t1,1,1
m6_d1_t2,1,0
m6_d1_t3,1,0
m6_d1_t4,1,0
m6_d1_t5,1,0
m6_d1_t6,1,0
m6_d1_t7,1,0
m6_d1_t8,1,0
m6_d1_t9,1,0
m6_d1_t10,1,0
m6_d1_t11,1,0
m6_d1_t12,1,0
m6_d1_t13,1,0
m6_d1_t14,1,0
m6_d1_t15,1,0
m6_d1_t16,1,0
m6_d1_t17,1,0
m6_d1_t18,1,0
m6_d1_t19,1,0
m6_d1_t20,1,0
m6_d1_t21,1,0
m6_d1_t22,1,0
m6_d1_t23,1,0
m6_d1_t24,1,0
m6_d2_t1,1,1
m6_d2_t2,1,0
m6_d2_t3,1,0
m6_d2_t4,1,0
m6_d2_t5,1,0
m6_d2_t6,1,0
m6_d2_t7,1,0
m6_d2_t8,1,0
m6_d2_t9,1,0
m6_d2_t10,1,0
m6_d2_t11,1,0
m6_d2_t12,1,0
m6_d2_t13,1,0
m6_d2_t14,1,0
m6_d2_t15,1,0
m6_d2_t16,1,0
m6_d2_t17,1,0
m6_d2_t18,1,0
m6_d2_t19,1,0
m6_d2_t20,1,0
m6_d2_t21,1,0
m6_d2_t22,1,0
m6_d2_t23,1,0
m6_d2_t24,1,0
m6_d3_t1,1,1
m6_d3_t2,1,0
m6_d3_t3,1,0
m6_d3_t4,1,0
m6_d3_t5,1,0
m6_d3_t6,1,0
m6_d3_t7,1,0
m6_d3_t8,1,0
m6_d3_t9,1,0
m6_d3_t10,1,0
m6_d3_t11,1,0
m6_d3_t12,1,0
m6_d3_t13,1,0
m6_d3_t14,1,0
m6_d3_t15,1,0
m6_d3_t16,1,0
m6_d3_t17,1,0
m6_d3_t18,1,0
m6_d3_t19,1,0
m6_d3_t20,1,0
m6_d3_t21,1,0
m6_d3_t22,1,0
m6_d3_t23,1,0
m6_d3_t24,1,0
m6_d4_t1,1,1
m6_d4_t2,1,0
m6_d4_t3,1,0
m6_d4_t4,1,0
m6_d4_t5,1,0
m6_d4_t6,1,0
m6_d4_t7,1,0
m6_d4_t8,1,0
m6_d4_t9,1,0
m6_d4_t10,1,0
m6_d4_t11,1,0
m6_d4_t12,1,0
m6_d4_t13,1,0
m6_d4_t14,1,0
m6_d4_t15,1,0
m6_d4_t16,1,0
m6_d4_t17,1,0
m6_d4_t18,1,0
m6_d4_t19,1,0
m6_d4_t20,1,0
m6_d4_t21,1,0
m6_d4_t22,1,0
m6_d4_t23,1,0
m6_d4_t24,1,0
m6_d5_t1,1,1
m6_d5_t2,1,0
m6_d5_t3,1,0
m6_d5_t4,1,0
m6_d5_t5,1,0
m6_d5_t6,1,0
m6_d5_t7,1,0
m6_d5_t8,1,0
m6_d5_t9,1,0
m6_d5_t10,1,0
m6_d5_t11,1,0
m6_d5_t12,1,0
m6_d5_t13,1,0
m6_d5_t14,1,0
m6_d5_t15,1,0
m6_d5_t16,1,0
m6_d5_t17,1,0
m6_d5_t18,1,0
m6_d5_t19,1,0
m6_d5_t20,1,0
m6_d5_t21,1,0
m6_d5_t22,1,0
m6_d5_t23,1,0
m6_d5_t24,1,0
m7_d1_t1,1,1
m7_d1_t2,1,0
m7_d1_t3,1,0
m7_d1_t4,1,0
m7_d1_t5,1,0
m7_d1_t6,1,0
m7_d1_t7,1,0
m7_d1_t8,1,0
m7_d1_t9,1,0
m7_d1_t10,1,0
m7_d1_t11,1,0
m7_d1_t12,1,0
m7_d1_t13,1,0
m7_d1_t14,1,0
m7_d1_t15,1,0
m7_d1_t16,1,0
m7_d1_t17,1,0
m7_d1_t18,1,0
m7_d1_t19,1,0
m7_d1_t20,1,0
m7_d1_t21,1,0
m7_d1_t22,1,0
m7_d1_t23,1,0
m7_d1_t24,1,0
m7_d2_t1,1,1
m7_d2_t2,1,0
m7_d2_t3,1,0
m7_d2_t4,1,0
m7_d2_t5,1,0
m7_d2_t6,1,0
m7_d2_t7,1,0
m7_d2_t8,1,0
m7_d2_t9,1,0
m7_d2_t10,1,0
m7_d2_t11,1,0
m7_d2_t12,1,0
m7_d2_t13,1,0
m7_d2_t14,1,0
m7_d2_t15,1,0
m7_d2_t16,1,0
m7_d2_t17,1,0
m7_d2_t18,1,0
m7_d2_t19,1,0
m7_d2_t20,1,0
m7_d2_t21,1,0
m7_d2_t22,1,0
m7_d2_t23,1,0
m7_d2_t24,1,0
m7_d3_t1,1,1
m7_d3_t2,1,0
m7_d3_t3,1,0
m7_d3_t4,1,0
m7_d3_t5,1,0
m7_d3_t6,1,0
m7_d3_t7,1,0
m7_d3_t8,1,0
m7_d3_t9,1,0
m7_d3_t10,1,0
m7_d3_t11,1,0
m7_d3_t12,1,0
m7_d3_t13,1,0
m7_d3_t14,1,0
m7_d3_t15,1,0
m7_d3_t16,1,0
m7_d3_t17,1,0
m7_d3_t18,1,0
m7_d3_t19,1,0
m7_d3_t20,1,0
m7_d3_t21,1,0
m7_d3_t22,1,0
m7_d3_t23,1,0
m7_d3_t24,1,0
m7_d4_t1,1,1
m7_d4_t2,1,0
m7_d4_t3,1,0
m7_d4_t4,1,0
m7_d4_t5,1,0
m7_d4_t6,1,0
m7_d4_t7,1,0
m7_d4_t8,1,0
m7_d4_t9,1,0
m7_d4_t10,1,0
m7_d4_t11,1,0
m7_d4_t12,1,0
m7_d4_t13,1,0
m7_d4_t14,1,0
m7_d4_t15,1,0
m7_d4_t16,1,0
m7_d4_t17,1,0
m7_d4_t18,1,0
m7_d4_t19,1,0
m7_d4_t20,1,0
m7_d4_t21,1,0
m7_d4_t22,1,0
m7_d4_t23,1,0
m7_d4_t24,1,0
m7_d5_t1,1,1
m7_d5_t2,1,0
m7_d5_t3,1,0
m7_d5_t4,1,0
m7_d5_t5,1,0
m7_d5_t6,1,0
m7_d5_t7,1,0
m7_d5_t8,1,0
m7_d5_t9,1,0
m7_d5_t10,1,0
m7_d5_t11,1,0
m7_d5_t12,1,0
m7_d5_t13,1,0
m7_d5_t14,1,0
m7_d5_t15,1,0
m7_d5_t16,1,0
m7_d5_t17,1,0
m7_d5_t18,1,0
m7_d5_t19,1,0
m7_d5_t20,1,0
m7_d5_t21,1,0
m7_d5_t22,1,0
m7_d5_t23,1,0
m7_d5_t24,1,0
m8_d1_t1,1,1
m8_d1_t2,1,0
m8_d1_t3,1,0
m8_d1_t4,1,0
m8_d1_t5,1,0
m8_d1_t6,1,0
m8_d1_t7,1,0
m8_d1_t8,1,0
m8_d1_t9,1,0
m8_d1_t10,1,0
m8_d1_t11,1,0
m8_d1_t12,1,0
m8_d1_t13,1,0
m8_d1_t14,1,0
m8_d1_t15,1,0
m8_d1_t16,1,0
m8_d1_t17,1,0
m8_d1_t18,1,0
m8_d1_t19,1,0
m8_d1_t20,1,0
m8_d1_t21,1,0
m8_d1_t22,1,0
m8_d1_t23,1,0
m8_d1_t24,1,0
m8_d2_t1,1,1
m8_d2_t2,1,0
m8_d2_t3,1,0
m8_d2_t4,1,0
m8_d2_t5,1,0
m8_d2_t6,1,0
m8_d2_t7,1,0
m8_d2_t8,1,0
m8_d2_t9,1,0
m8_d2_t10,1,0
m8_d2_t11,1,0
m8_d2_t12,1,0
m8_d2_t13,1,0
m8_d2_t14,1,0
m8_d2_t15,1,0
m8_d2_t16,1,0
m8_d2_t17,1,0
m8_d2_t18,1,0
m8_d2_t19,1,0
m8_d2_t20,1,0
m8_d2_t21,1,0
m8_d2_t22,1,0
m8_d2_t23,1,0
m8_d2_t24,1,0
m8_d3_t1,1,1
m8_d3_t2,1,0
m8_d3_t3,1,0
m8_d3_t4,1,0
m8_d3_t5,1,0
m8_d3_t6,1,0
m8_d3_t7,1,0
m8_d3_t8,1,0
m8_d3_t9,1,0
m8_d3_t10,1,0
m8_d3_t11,1,0
m8_d3_t12,1,0
m8_d3_t13,1,0
m8_d3_t14,1,0
m8_d3_t15,1,0
m8_d3_t16,1,0
m8_d3_t17,1,0
m8_d3_t18,1,0
m8_d3_t19,1,0
m8_d3_t20,1,0
m8_d3_t21,1,0
m8_d3_t22,1,0
m8_d3_t23,1,0
m8_d3_t24,1,0
m8_d4_t1,1,1
m8_d4_t2,1,0
m8_d4_t3,1,0
m8_d4_t4,1,0
m8_d4_t5,1,0
m8_d4_t6,1,0
m8_d4_t7,1,0
m8_d4_t8,1,0
m8_d4_t9,1,0
m8_d4_t10,1,0
m8_d4_t11,1,0
m8_d4_t12,1,0
m8_d4_t13,1,0
m8_d4_t14,1,0
m8_d4_t15,1,0
m8_d4_t16,1,0
m8_d4_t17,1,0
m8_d4_t18,1,0
m8_d4_t19,1,0
m8_d4_t20,1,0
m8_d4_t21,1,0
m8_d4_t22,1,0
m8_d4_t23,1,0
m8_d4_t24,1,0
m8_d5_t1,1,1
m8_d5_t2,1,0
m8_d5_t3,1,0
m8_d5_t4,1,0
m8_d5_t5,1,0
m8_d5_t6,1,0
m8_d5_t7,1,0
m8_d5_t8,1,0
m8_d5_t9,1,0
m8_d5_t10,1,0
m8_d5_t11,1,0
m8_d5_t12,1,0
m8_d5_t13,1,0
m8_d5_t14,1,0
m8_d5_t15,1,0
m8_d5_t16,1,0
m8_d5_t17,1,0
m8_d5_t18,1,0
m8_d5_t19,1,0
m8_d5_t20,1,0
m8_d5_t21,1,0
m8_d5_t22,1,0
m8_d5_t23,1,0
m8_d5_t24,1,0
m9_d1_t1,1,1
m9_d1_t2,1,0
m9_d1_t3,1,0
m9_d1_t4,1,0
m9_d1_t5,1,0
m9_d1_t6,1,0
m9_d1_t7,1,0
m9_d1_t8,1,0
m9_d1_t9,1,0
m9_d1_t10,1,0
m9_d1_t11,1,0
m9_d1_t12,1,0
m9_d1_t13,1,0
m9_d1_t14,1,0
m9_d1_t15,1,0
m9_d1_t16,1,0
m9_d1_t17,1,0
m9_d1_t18,1,0
m9_d1_t19,1,0
m9_d1_t20,1,0
m9_d1_t21,1,0
m9_d1_t22,1,0
m9_d1_t23,1,0
m9_d1_t24,1,0
m9_d2_t1,1,1
m9_d2_t2,1,0
m9_d2_t3,1,0
m9_d2_t4,1,0
m9_d2_t5,1,0
m9_d2_t6,1,0
m9_d2_t7,1,0
m9_d2_t8,1,0
m9_d2_t9,1,0
m9_d2_t10,1,0
m9_d2_t11,1,0
m9_d2_t12,1,0
m9_d2_t13,1,0
m9_d2_t14,1,0
m9_d2_t15,1,0
m9_d2_t16,1,0
m9_d2_t17,1,0
m9_d2_t18,1,0
m9_d2_t19,1,0
m9_d2_t20,1,0
m9_d2_t21,1,0
m9_d2_t22,1,0
m9_d2_t23,1,0
m9_d2_t24,1,0
m9_d3_t1,1,1
m9_d3_t2,1,0
m9_d3_t3,1,0
m9_d3_t4,1,0
m9_d3_t5,1,0
m9_d3_t6,1,0
m9_d3_t7,1,0
m9_d3_t8,1,0
m9_d3_t9,1,0
m9_d3_t10,1,0
m9_d3_t11,1,0
m9_d3_t12,1,0
m9_d3_t13,1,0
m9_d3_t14,1,0
m9_d3_t15,1,0
m9_d3_t16,1,0
m9_d3_t17,1,0
m9_d3_t18,1,0
m9_d3_t19,1,0
m9_d3_t20,1,0
m9_d3_t21,1,0
m9_d3_t22,1,0
m9_d3_t23,1,0
m9_d3_t24,1,0
m9_d4_t1,1,1
m9_d4_t2,1,0
m9_d4_t3,1,0
m9_d4_t4,1,0
m9_d4_t5,1,0
m9_d4_t6,1,0
m9_d4_t7,1,0
m9_d4_t8,1,0
m9_d4_t9,1,0
m9_d4_t10,1,0
m9_d4_t11,1,0
m9_d4_t12,1,0
m9_d4_t13,1,0
m9_d4_t14,1,0
m9_d4_t15,1,0
m9_d4_t16,1,0
m9_d4_t17,1,0
m9_d4_t18,1,0
m9_d4_t19,1,0
m9_d4_t20,1,0
m9_d4_t21,1,0
m9_d4_t22,1,0
m9_d4_t23,1,0
m9_d4_t24,1,0
m9_d5_t1,1,1
m9_d5_t2,1,0
m9_d5_t3,1,0
m9_d5_t4,1,0
m9_d5_t5,1,0
m9_d5_t6,1,0
m9_d5_t7,1,0
m9_d5_t8,1,0
m9_d5_t9,1,0
m9_d5_t10,1,0
m9_d5_t11,1,0
m9_d5_t12,1,0
m9_d5_t13,1,0
m9_d5_t14,1,0
m9_d5_t15,1,0
m9_d5_t16,1,0
