REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
EL53,Biomass,Elec_Transmission,1,2045,1
EL53,Biomass,Elec_Transmission,1,2050,1
EL53,Biomass_CCS,Elec_Transmission,1,2023,1
EL53,Biomass_CCS,Elec_Transmission,1,2025,1
EL53,Biomass_CCS,Elec_Transmission,1,2030,1
EL53,Biomass_CCS,Elec_Transmission,1,2035,1
EL53,Biomass_CCS,Elec_Transmission,1,2040,1
EL53,Biomass_CCS,Elec_Transmission,1,2045,1
EL53,Biomass_CCS,Elec_Transmission,1,2050,1
EL53,Biomass_Ex,Elec_Transmission,1,2023,1
EL53,Biomass_Ex,Elec_Transmission,1,2025,1
EL53,Biomass_Ex,Elec_Transmission,1,2030,1
EL53,Biomass_Ex,Elec_Transmission,1,2035,1
EL53,Biomass_Ex,Elec_Transmission,1,2040,1
EL53,Biomass_Ex,Elec_Transmission,1,2045,1
EL53,Biomass_Ex,Elec_Transmission,1,2050,1
EL53,BiomassImports,GRBiomass,1,2023,1
EL53,BiomassImports,GRBiomass,1,2025,1
EL53,BiomassImports,GRBiomass,1,2030,1
EL53,BiomassImports,GRBiomass,1,2035,1
EL53,BiomassImports,GRBiomass,1,2040,1
EL53,BiomassImports,GRBiomass,1,2045,1
EL53,BiomassImports,GRBiomass,1,2050,1
EL53,BiomassProduction,GRBiomass,1,2023,1
EL53,BiomassProduction,GRBiomass,1,2025,1
EL53,BiomassProduction,GRBiomass,1,2030,1
EL53,BiomassProduction,GRBiomass,1,2035,1
EL53,BiomassProduction,GRBiomass,1,2040,1
EL53,BiomassProduction,GRBiomass,1,2045,1
EL53,BiomassProduction,GRBiomass,1,2050,1
EL53,CCGT,Elec_Transmission,1,2023,1
EL53,CCGT,Elec_Transmission,1,2025,1
EL53,CCGT,Elec_Transmission,1,2030,1
EL53,CCGT,Elec_Transmission,1,2035,1
EL53,CCGT,Elec_Transmission,1,2040,1
EL53,CCGT,Elec_Transmission,1,2045,1
EL53,CCGT,Elec_Transmission,1,2050,1
EL54,Batteries_New,Elec_Transmission,2,2023,1
EL54,Batteries_New,Elec_Storage,1,2023,1
EL54,Batteries_New,Elec_Transmission,2,2025,1
EL54,Batteries_New,Elec_Storage,1,2025,1
EL54,Batteries_New,Elec_Transmission,2,2030,1
EL54,Batteries_New,Elec_Storage,1,2030,1
EL54,Batteries_New,Elec_Transmission,2,2035,1
EL54,Batteries_New,Elec_Storage,1,2035,1
EL54,Batteries_New,Elec_Transmission,2,2040,1
EL54,Batteries_New,Elec_Storage,1,2040,1
EL54,Batteries_New,Elec_Transmission,2,2045,1
EL54,Batteries_New,Elec_Storage,1,2045,1
EL54,Batteries_New,Elec_Transmission,2,2050,1
EL54,Batteries_New,Elec_Storage,1,2050,1
EL54,Biomass,Elec_Transmission,1,2023,1
EL54,Biomass,Elec_Transmission,1,2025,1
EL54,Biomass,Elec_Transmission,1,2030,1
EL54,Biomass,Elec_Transmission,1,2035,1
EL54,Biomass,Elec_Transmission,1,2040,1
EL54,Biomass,Elec_Transmission,1,2045,1
EL54,Biomass,Elec_Transmission,1,2050,1
EL54,Biomass_CCS,Elec_Transmission,1,2023,1
EL54,Biomass_CCS,Elec_Transmission,1,2025,1
EL54,Biomass_CCS,Elec_Transmission,1,2030,1
EL54,Biomass_CCS,Elec_Transmission,1,2035,1
EL54,Biomass_CCS,Elec_Transmission,1,2040,1
EL54,Biomass_CCS,Elec_Transmission,1,2045,1
EL54,Biomass_CCS,Elec_Transmission,1,2050,1
EL54,Biomass_Ex,Elec_Transmission,1,2023,1
EL54,Biomass_Ex,Elec_Transmission,1,2025,1
