REGION,REGION,FUEL,YEAR,VALUE
EL65,KOS,Elec_Transmission,2025,0
EL65,KOS,Elec_Transmission,2030,0
EL65,KOS,Elec_Transmission,2035,1
EL65,KOS,Elec_Transmission,2040,1
EL65,KOS,Elec_Transmission,2045,1
EL65,KOS,Elec_Transmission,2050,1
KOS,EL65,Elec_Transmission,2023,0
KOS,EL65,Elec_Transmission,2025,0
KOS,EL65,Elec_Transmission,2030,0
KOS,EL65,Elec_Transmission,2035,1
KOS,EL65,Elec_Transmission,2040,1
KOS,EL65,Elec_Transmission,2045,1
KOS,EL65,Elec_Transmission,2050,1
EL64,SERIFOS,Elec_Transmission,2023,0
EL64,SERIFOS,Elec_Transmission,2025,0
EL64,SERIFOS,Elec_Transmission,2030,1
EL64,SERIFOS,Elec_Transmission,2035,1
EL64,SERIFOS,Elec_Transmission,2040,1
EL64,SERIFOS,Elec_Transmission,2045,1
EL64,SERIFOS,Elec_Transmission,2050,1
SERIFOS,EL64,Elec_Transmission,2023,0
SERIFOS,EL64,Elec_Transmission,2025,0
SERIFOS,EL64,Elec_Transmission,2030,1
SERIFOS,EL64,Elec_Transmission,2035,1
SERIFOS,EL64,Elec_Transmission,2040,1
SERIFOS,EL64,Elec_Transmission,2045,1
SERIFOS,EL64,Elec_Transmission,2050,1
EL64,THIRA,Elec_Transmission,2023,0
EL64,THIRA,Elec_Transmission,2025,0
EL64,THIRA,Elec_Transmission,2030,1
EL64,THIRA,Elec_Transmission,2035,1
EL64,THIRA,Elec_Transmission,2040,1
EL64,THIRA,Elec_Transmission,2045,1
EL64,THIRA,Elec_Transmission,2050,1
THIRA,EL64,Elec_Transmission,2023,0
THIRA,EL64,Elec_Transmission,2025,0
THIRA,EL64,Elec_Transmission,2030,1
THIRA,EL64,Elec_Transmission,2035,1
THIRA,EL64,Elec_Transmission,2040,1
THIRA,EL64,Elec_Transmission,2045,1
THIRA,EL64,Elec_Transmission,2050,1
